source_file,scheme,metric,households,simulations,cache_mode,total_us,total_s,avg_us,avg_ms,count,cipher_bytes
bfv_h1000_s1000_cold.log,BFV,H_initial_device_planning,1000,1000,cold,11388527.0,11.388527,11.389,0.011389,1000000.0,0
bfv_h1000_s1000_cold.log,BFV,H_encrypt_X_i,1000,1000,cold,2585460616.0,2585.460616,2585.461,2.5854609999999996,1000000.0,526449
bfv_h1000_s1000_cold.log,BFV,H_plan_compute,1000,1000,cold,55713868.0,55.713868,20.311,0.020311,2743000.0,0
bfv_h1000_s1000_cold.log,BFV,H_accept_compute,1000,1000,cold,158233.0,0.158233,0.094,9.4e-05,1681875.0,0
bfv_h1000_s1000_cold.log,BFV,H_encrypt_delta_i,1000,1000,cold,4346981118.0,4346.981118,2584.604,2.5846039999999997,1681875.0,526449
bfv_h1000_s1000_cold.log,BFV,H_total_household_side,1000,1000,cold,6999702362.0,6999.702362,6999702.362,6999.702362,1000.0,526449
bfv_h1000_s1000_cold.log,BFV,B_init_X_from_first_ciphertext,1000,1000,cold,65188.0,0.065188,65.188,0.065188,1000.0,526449
bfv_h1000_s1000_cold.log,BFV,B_add_X_remaining,1000,1000,cold,55825320.0,55.82532,55.881,0.055881,999000.0,526449
bfv_h1000_s1000_cold.log,BFV,B_init_delta_from_first_ciphertext,1000,1000,cold,177093.0,0.177093,64.562,0.064562,2743.0,526449
bfv_h1000_s1000_cold.log,BFV,B_add_delta_remaining,1000,1000,cold,94784282.0,94.784282,56.448,0.056448,1679132.0,526449
bfv_h1000_s1000_cold.log,BFV,B_total_aggregation,1000,1000,cold,150851883.0,150.851883,150851.883,150.85188300000002,1000.0,526449
bfv_h1000_s1000_cold.log,BFV,C_decrypt_X,1000,1000,cold,1043289.0,1.043289,1043.289,1.043289,1000.0,0
bfv_h1000_s1000_cold.log,BFV,C_decrypt_delta,1000,1000,cold,2842119.0,2.842119,1036.135,1.036135,2743.0,0
bfv_h1000_s1000_cold.log,BFV,C_control_logic_until_convergence,1000,1000,cold,67578.0,0.067578,24.637,0.024637,2743.0,0
bfv_h1000_s1000_cold.log,BFV,C_total_decrypt_plus_control,1000,1000,cold,3952986.0,3.952986,3952.986,3.9529859999999997,1000.0,0
bfv_h1000_s1000_cold.log,BFV,SIM_total_measured_H_B_C,1000,1000,cold,7154507231.0,7154.507231,7154507.231,7154.507231,1000.0,526449
bfv_h1000_s1000_cold.log,SUMMARY,total_iterations,1000,1000,cold,2743.0,0.002743,2.743,0.0027429999999999998,1000.0,0
bfv_h1000_s1000_cold.log,SUMMARY,accepted_delta_count,1000,1000,cold,1681875.0,1.681875,1681.875,1.681875,1000.0,0
bfv_h100_s1000_cold.log,BFV,H_initial_device_planning,100,1000,cold,1192130.0,1.19213,11.921,0.011921,100000.0,0
bfv_h100_s1000_cold.log,BFV,H_encrypt_X_i,100,1000,cold,259510223.0,259.510223,2595.102,2.595102,100000.0,526449
bfv_h100_s1000_cold.log,BFV,H_plan_compute,100,1000,cold,7344488.0,7.344488,21.184,0.021184,346700.0,0
bfv_h100_s1000_cold.log,BFV,H_accept_compute,100,1000,cold,10445.0,0.010445,0.06,5.9999999999999995e-05,173667.0,0
bfv_h100_s1000_cold.log,BFV,H_encrypt_delta_i,100,1000,cold,449248211.0,449.248211,2586.837,2.586837,173667.0,526449
bfv_h100_s1000_cold.log,BFV,H_total_household_side,100,1000,cold,717305497.0,717.305497,717305.497,717.305497,1000.0,526449
bfv_h100_s1000_cold.log,BFV,B_init_X_from_first_ciphertext,100,1000,cold,66390.0,0.06639,66.39,0.06639,1000.0,526449
bfv_h100_s1000_cold.log,BFV,B_add_X_remaining,100,1000,cold,5509399.0,5.509399,55.65,0.05565,99000.0,526449
bfv_h100_s1000_cold.log,BFV,B_init_delta_from_first_ciphertext,100,1000,cold,182402.0,0.182402,52.611,0.052611,3467.0,526449
bfv_h100_s1000_cold.log,BFV,B_add_delta_remaining,100,1000,cold,9415128.0,9.415128,55.318,0.055318,170200.0,526449
bfv_h100_s1000_cold.log,BFV,B_total_aggregation,100,1000,cold,15173319.0,15.173319,15173.319,15.173319,1000.0,526449
bfv_h100_s1000_cold.log,BFV,C_decrypt_X,100,1000,cold,1042525.0,1.042525,1042.525,1.0425250000000001,1000.0,0
bfv_h100_s1000_cold.log,BFV,C_decrypt_delta,100,1000,cold,3581679.0,3.581679,1033.077,1.033077,3467.0,0
bfv_h100_s1000_cold.log,BFV,C_control_logic_until_convergence,100,1000,cold,7150.0,0.00715,2.062,0.002062,3467.0,0
bfv_h100_s1000_cold.log,BFV,C_total_decrypt_plus_control,100,1000,cold,4631354.0,4.631354,4631.354,4.631354,1000.0,0
bfv_h100_s1000_cold.log,BFV,SIM_total_measured_H_B_C,100,1000,cold,737110170.0,737.11017,737110.17,737.11017,1000.0,526449
bfv_h100_s1000_cold.log,SUMMARY,total_iterations,100,1000,cold,3467.0,0.003467,3.467,0.003467,1000.0,0
bfv_h100_s1000_cold.log,SUMMARY,accepted_delta_count,100,1000,cold,173667.0,0.173667,173.667,0.173667,1000.0,0
bfv_h10_s1000_cold.log,BFV,H_initial_device_planning,10,1000,cold,150287.0,0.150287,15.029,0.015029,10000.0,0
bfv_h10_s1000_cold.log,BFV,H_encrypt_X_i,10,1000,cold,26146740.0,26.14674,2614.674,2.614674,10000.0,526449
bfv_h10_s1000_cold.log,BFV,H_plan_compute,10,1000,cold,2835127.0,2.835127,25.685,0.025685,110380.0,0
bfv_h10_s1000_cold.log,BFV,H_accept_compute,10,1000,cold,463.0,0.000463,0.019,1.9e-05,24733.0,0
bfv_h10_s1000_cold.log,BFV,H_encrypt_delta_i,10,1000,cold,63521144.0,63.521144,2568.275,2.5682750000000003,24733.0,526449
bfv_h10_s1000_cold.log,BFV,H_total_household_side,10,1000,cold,92653761.0,92.653761,92653.761,92.653761,1000.0,526449
bfv_h10_s1000_cold.log,BFV,B_init_X_from_first_ciphertext,10,1000,cold,47220.0,0.04722,47.22,0.04722,1000.0,526449
bfv_h10_s1000_cold.log,BFV,B_add_X_remaining,10,1000,cold,472054.0,0.472054,52.45,0.052450000000000004,9000.0,526449
bfv_h10_s1000_cold.log,BFV,B_init_delta_from_first_ciphertext,10,1000,cold,167280.0,0.16728,15.205,0.015205,11002.0,526449
bfv_h10_s1000_cold.log,BFV,B_add_delta_remaining,10,1000,cold,696483.0,0.696483,50.723,0.050723,13731.0,526449
bfv_h10_s1000_cold.log,BFV,B_total_aggregation,10,1000,cold,1383037.0,1.383037,1383.037,1.383037,1000.0,526449
bfv_h10_s1000_cold.log,BFV,C_decrypt_X,10,1000,cold,1021142.0,1.021142,1021.142,1.021142,1000.0,0
bfv_h10_s1000_cold.log,BFV,C_decrypt_delta,10,1000,cold,10781588.0,10.781588,979.966,0.979966,11002.0,0
bfv_h10_s1000_cold.log,BFV,C_control_logic_until_convergence,10,1000,cold,762.0,0.000762,0.069,6.900000000000001e-05,11038.0,0
bfv_h10_s1000_cold.log,BFV,C_total_decrypt_plus_control,10,1000,cold,11803492.0,11.803492,11803.492,11.803492,1000.0,0
bfv_h10_s1000_cold.log,BFV,SIM_total_measured_H_B_C,10,1000,cold,105840290.0,105.84029,105840.29,105.84029,1000.0,526449
bfv_h10_s1000_cold.log,SUMMARY,total_iterations,10,1000,cold,11038.0,0.011038,11.038,0.011038000000000001,1000.0,0
bfv_h10_s1000_cold.log,SUMMARY,accepted_delta_count,10,1000,cold,24733.0,0.024733,24.733,0.024733,1000.0,0
bfv_h250_s1000_cold.log,BFV,H_initial_device_planning,250,1000,cold,2928425.0,2.928425,11.714,0.011714,250000.0,0
bfv_h250_s1000_cold.log,BFV,H_encrypt_X_i,250,1000,cold,646339965.0,646.339965,2585.36,2.58536,250000.0,526449
bfv_h250_s1000_cold.log,BFV,H_plan_compute,250,1000,cold,15249495.0,15.249495,20.38,0.02038,748250.0,0
bfv_h250_s1000_cold.log,BFV,H_accept_compute,250,1000,cold,33005.0,0.033005,0.077,7.7e-05,426544.0,0
bfv_h250_s1000_cold.log,BFV,H_encrypt_delta_i,250,1000,cold,1101579800.0,1101.5798,2582.57,2.58257,426544.0,526449
bfv_h250_s1000_cold.log,BFV,H_total_household_side,250,1000,cold,1766130690.0,1766.13069,1766130.69,1766.13069,1000.0,526449
bfv_h250_s1000_cold.log,BFV,B_init_X_from_first_ciphertext,250,1000,cold,65477.0,0.065477,65.477,0.06547700000000001,1000.0,526449
bfv_h250_s1000_cold.log,BFV,B_add_X_remaining,250,1000,cold,13952019.0,13.952019,56.032,0.056032,249000.0,526449
bfv_h250_s1000_cold.log,BFV,B_init_delta_from_first_ciphertext,250,1000,cold,195154.0,0.195154,65.203,0.065203,2993.0,526449
bfv_h250_s1000_cold.log,BFV,B_add_delta_remaining,250,1000,cold,23700608.0,23.700608,55.957,0.055957,423551.0,526449
bfv_h250_s1000_cold.log,BFV,B_total_aggregation,250,1000,cold,37913258.0,37.913258,37913.258,37.913258,1000.0,526449
bfv_h250_s1000_cold.log,BFV,C_decrypt_X,250,1000,cold,1033069.0,1.033069,1033.069,1.033069,1000.0,0
bfv_h250_s1000_cold.log,BFV,C_decrypt_delta,250,1000,cold,3087257.0,3.087257,1031.492,1.0314919999999999,2993.0,0
bfv_h250_s1000_cold.log,BFV,C_control_logic_until_convergence,250,1000,cold,16056.0,0.016056,5.365,0.005365,2993.0,0
bfv_h250_s1000_cold.log,BFV,C_total_decrypt_plus_control,250,1000,cold,4136382.0,4.136382,4136.382,4.136381999999999,1000.0,0
bfv_h250_s1000_cold.log,BFV,SIM_total_measured_H_B_C,250,1000,cold,1808180330.0,1808.18033,1808180.33,1808.1803300000001,1000.0,526449
bfv_h250_s1000_cold.log,SUMMARY,total_iterations,250,1000,cold,2993.0,0.002993,2.993,0.002993,1000.0,0
bfv_h250_s1000_cold.log,SUMMARY,accepted_delta_count,250,1000,cold,426544.0,0.426544,426.544,0.426544,1000.0,0
bfv_h500_s1000_cold.log,BFV,H_initial_device_planning,500,1000,cold,5764741.0,5.764741,11.529,0.011529,500000.0,0
bfv_h500_s1000_cold.log,BFV,H_encrypt_X_i,500,1000,cold,1292760607.0,1292.760607,2585.521,2.5855210000000004,500000.0,526449
bfv_h500_s1000_cold.log,BFV,H_plan_compute,500,1000,cold,29181188.0,29.181188,20.16,0.02016,1447500.0,0
bfv_h500_s1000_cold.log,BFV,H_accept_compute,500,1000,cold,74690.0,0.07469,0.088,8.8e-05,852016.0,0
bfv_h500_s1000_cold.log,BFV,H_encrypt_delta_i,500,1000,cold,2201838648.0,2201.838648,2584.269,2.584269,852016.0,526449
bfv_h500_s1000_cold.log,BFV,H_total_household_side,500,1000,cold,3529619874.0,3529.619874,3529619.874,3529.619874,1000.0,526449
bfv_h500_s1000_cold.log,BFV,B_init_X_from_first_ciphertext,500,1000,cold,65545.0,0.065545,65.545,0.065545,1000.0,526449
bfv_h500_s1000_cold.log,BFV,B_add_X_remaining,500,1000,cold,27910373.0,27.910373,55.933,0.055933,499000.0,526449
bfv_h500_s1000_cold.log,BFV,B_init_delta_from_first_ciphertext,500,1000,cold,190699.0,0.190699,65.872,0.065872,2895.0,526449
bfv_h500_s1000_cold.log,BFV,B_add_delta_remaining,500,1000,cold,47543746.0,47.543746,55.992,0.055992,849121.0,526449
bfv_h500_s1000_cold.log,BFV,B_total_aggregation,500,1000,cold,75710363.0,75.710363,75710.363,75.710363,1000.0,526449
bfv_h500_s1000_cold.log,BFV,C_decrypt_X,500,1000,cold,1032955.0,1.032955,1032.955,1.0329549999999998,1000.0,0
bfv_h500_s1000_cold.log,BFV,C_decrypt_delta,500,1000,cold,2980198.0,2.980198,1029.429,1.0294290000000001,2895.0,0
bfv_h500_s1000_cold.log,BFV,C_control_logic_until_convergence,500,1000,cold,33923.0,0.033923,11.718,0.011718,2895.0,0
bfv_h500_s1000_cold.log,BFV,C_total_decrypt_plus_control,500,1000,cold,4047076.0,4.047076,4047.076,4.047076,1000.0,0
bfv_h500_s1000_cold.log,BFV,SIM_total_measured_H_B_C,500,1000,cold,3609377313.0,3609.377313,3609377.313,3609.377313,1000.0,526449
bfv_h500_s1000_cold.log,SUMMARY,total_iterations,500,1000,cold,2895.0,0.002895,2.895,0.002895,1000.0,0
bfv_h500_s1000_cold.log,SUMMARY,accepted_delta_count,500,1000,cold,852016.0,0.852016,852.016,0.852016,1000.0,0
bfv_h50_s1000_cold.log,BFV,H_initial_device_planning,50,1000,cold,623254.0,0.623254,12.465,0.012465,50000.0,0
bfv_h50_s1000_cold.log,BFV,H_encrypt_X_i,50,1000,cold,130074695.0,130.074695,2601.494,2.601494,50000.0,526449
bfv_h50_s1000_cold.log,BFV,H_plan_compute,50,1000,cold,4776033.0,4.776033,22.245,0.022245,214700.0,0
bfv_h50_s1000_cold.log,BFV,H_accept_compute,50,1000,cold,3503.0,0.003503,0.04,4e-05,88029.0,0
bfv_h50_s1000_cold.log,BFV,H_encrypt_delta_i,50,1000,cold,227788633.0,227.788633,2587.654,2.587654,88029.0,526449
bfv_h50_s1000_cold.log,BFV,H_total_household_side,50,1000,cold,363266118.0,363.266118,363266.118,363.266118,1000.0,526449
bfv_h50_s1000_cold.log,BFV,B_init_X_from_first_ciphertext,50,1000,cold,65739.0,0.065739,65.739,0.065739,1000.0,526449
bfv_h50_s1000_cold.log,BFV,B_add_X_remaining,50,1000,cold,2721951.0,2.721951,55.55,0.055549999999999995,49000.0,526449
bfv_h50_s1000_cold.log,BFV,B_init_delta_from_first_ciphertext,50,1000,cold,155994.0,0.155994,36.328,0.036328000000000006,4294.0,526449
bfv_h50_s1000_cold.log,BFV,B_add_delta_remaining,50,1000,cold,4516195.0,4.516195,53.934,0.053933999999999996,83735.0,526449
bfv_h50_s1000_cold.log,BFV,B_total_aggregation,50,1000,cold,7459879.0,7.459879,7459.879,7.459879,1000.0,526449
bfv_h50_s1000_cold.log,BFV,C_decrypt_X,50,1000,cold,1033115.0,1.033115,1033.115,1.033115,1000.0,0
bfv_h50_s1000_cold.log,BFV,C_decrypt_delta,50,1000,cold,4350552.0,4.350552,1013.17,1.01317,4294.0,0
bfv_h50_s1000_cold.log,BFV,C_control_logic_until_convergence,50,1000,cold,3299.0,0.003299,0.768,0.000768,4294.0,0
bfv_h50_s1000_cold.log,BFV,C_total_decrypt_plus_control,50,1000,cold,5386966.0,5.386966,5386.966,5.386966,1000.0,0
