source_file,run_label,scheme,households,simulations,cache_mode,H_initial_device_planning_ms,H_encrypt_X_i_ms,H_plan_compute_ms,H_accept_compute_ms,H_encrypt_delta_i_ms,H_total_household_side_ms,B_init_X_from_first_ciphertext_ms,B_add_X_remaining_ms,B_init_delta_from_first_ciphertext_ms,B_add_delta_remaining_ms,B_total_aggregation_ms,C_decrypt_X_ms,C_decrypt_delta_ms,C_control_logic_until_convergence_ms,C_total_decrypt_plus_control_ms,SIM_total_measured_H_B_C_ms,avg_iterations_per_sim,avg_accepted_deltas_per_sim,H_share,B_share,C_share
plain_h10_s1000_cold.log,plain10,PLAIN,10,1000,cold,0.013342,0.000000,0.020954,0.000002,0.000000,2.443653,0.000001,0.000001,0.000000,0.000002,0.000036,0.000000,0.000000,0.000010,0.000114,2.443803,11.025000,23.674000,0.999939,0.000015,0.000047
bfv_h10_s1000_cold.log,bfv10,BFV,10,1000,cold,0.015029,2.614674,0.025685,0.000019,2.568275,92.653761,0.047220,0.052450,0.015205,0.050723,1.383037,1.021142,0.979966,0.000069,11.803492,105.840290,11.038000,24.733000,0.875411,0.013067,0.111522
ckks_h10_s1000_cold.log,ckks10,CKKS,10,1000,cold,0.014872,3.084471,0.026823,0.000031,3.046240,108.980322,0.030961,0.039596,0.010376,0.038041,1.019332,0.870635,0.839525,0.000058,10.125362,120.125016,11.025000,24.630000,0.907224,0.008486,0.084290
plain_h50_s1000_cold.log,plain50,PLAIN,50,1000,cold,0.011267,0.000000,0.017595,0.000005,0.000000,4.338736,0.000001,0.000045,0.000000,0.000023,0.004034,0.000000,0.000000,0.000301,0.001290,4.344060,4.291000,82.994000,0.998774,0.000929,0.000297
bfv_h50_s1000_cold.log,bfv50,BFV,50,1000,cold,0.012465,2.601494,0.022245,0.000040,2.587654,363.266118,0.065739,0.055550,0.036328,0.053934,7.459879,1.033115,1.013170,0.000768,5.386966,376.112963,4.294000,88.029000,0.965843,0.019834,0.014323
ckks_h50_s1000_cold.log,ckks50,CKKS,50,1000,cold,0.012232,3.068319,0.021418,0.000035,3.057196,426.026585,0.040136,0.041004,0.021602,0.039771,5.450022,0.871269,0.860462,0.000598,4.566078,436.042685,4.291000,87.466000,0.977030,0.012499,0.010472
plain_h100_s1000_cold.log,plain100,PLAIN,100,1000,cold,0.010999,0.000000,0.016782,0.000009,0.000000,6.926457,0.000004,0.000061,0.000000,0.000033,0.011447,0.000000,0.000000,0.001054,0.003657,6.941561,3.471000,164.960000,0.997824,0.001649,0.000527
bfv_h100_s1000_cold.log,bfv100,BFV,100,1000,cold,0.011921,2.595102,0.021184,0.000060,2.586837,717.305497,0.066390,0.055650,0.052611,0.055318,15.173319,1.042525,1.033077,0.002062,4.631354,737.110170,3.467000,173.667000,0.973132,0.020585,0.006283
ckks_h100_s1000_cold.log,ckks100,CKKS,100,1000,cold,0.011961,3.060920,0.020444,0.000062,3.054028,840.723144,0.043345,0.041654,0.031072,0.041172,11.227549,0.874779,0.870790,0.001776,3.903454,855.854147,3.471000,172.339000,0.982321,0.013119,0.004561
plain_h250_s1000_cold.log,plain250,PLAIN,250,1000,cold,0.010739,0.000000,0.016419,0.000017,0.000000,14.973005,0.000004,0.000081,0.000003,0.000056,0.043113,0.000000,0.000000,0.004037,0.012080,15.028198,2.992000,412.464000,0.996327,0.002869,0.000804
bfv_h250_s1000_cold.log,bfv250,BFV,250,1000,cold,0.011714,2.585360,0.020380,0.000077,2.582570,1766.130690,0.065477,0.056032,0.065203,0.055957,37.913258,1.033069,1.031492,0.005365,4.136382,1808.180330,2.993000,426.544000,0.976745,0.020968,0.002288
ckks_h250_s1000_cold.log,ckks250,CKKS,250,1000,cold,0.011633,3.064453,0.019468,0.000085,3.061243,2080.009692,0.042516,0.042070,0.041067,0.042038,28.317531,0.882629,0.883042,0.005275,3.540474,2111.867697,2.992000,423.485000,0.984915,0.013409,0.001676
plain_h500_s1000_cold.log,plain500,PLAIN,500,1000,cold,0.010859,0.000000,0.016911,0.000040,0.000000,29.949490,0.000046,0.000118,0.000005,0.000092,0.135190,0.000000,0.000000,0.010038,0.029069,30.113749,2.896000,833.690000,0.994545,0.004489,0.000965
bfv_h500_s1000_cold.log,bfv500,BFV,500,1000,cold,0.011529,2.585521,0.020160,0.000088,2.584269,3529.619874,0.065545,0.055933,0.065872,0.055992,75.710363,1.032955,1.029429,0.011718,4.047076,3609.377313,2.895000,852.016000,0.977903,0.020976,0.001121
ckks_h500_s1000_cold.log,ckks500,CKKS,500,1000,cold,0.011157,3.054199,0.018758,0.000034,3.052667,4150.813129,0.041947,0.042154,0.042738,0.042521,57.167581,0.889873,0.892735,0.010438,3.505462,4211.486172,2.896000,848.748000,0.985593,0.013574,0.000832
plain_h1000_s1000_cold.log,plain1000,PLAIN,1000,1000,cold,0.011208,0.000000,0.017950,0.000064,0.000000,60.551436,0.000095,0.000160,0.000002,0.000123,0.364607,0.000000,0.000000,0.023393,0.064167,60.980210,2.743000,1665.689000,0.992969,0.005979,0.001052
bfv_h1000_s1000_cold.log,bfv1000,BFV,1000,1000,cold,0.011389,2.585461,0.020311,0.000094,2.584604,6999.702362,0.065188,0.055881,0.064562,0.056448,150.851883,1.043289,1.036135,0.024637,3.952986,7154.507231,2.743000,1681.875000,0.978363,0.021085,0.000553
